,T0,T1,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T23,T25,T26,T28,T29,T30,T31,T33,T34,T35,T36,T37,T38,T39,T40,T43,T46,T47,T48,T50,T53,T55,T56,T57,T58,T59,T61,T64,T66,T67,T68,T69,T71,T73,T76,T77,T79,T80,T81,T83,T84,T85,T87,T89,T90,T92,T93,T94,T95,T96,T98,T99,T100
2016-01-29,47.8023,34.9609,107.737,51.1353,48.1383,62.1714,33.5197,90.4007,30.8897,54.3499,80.447,156.3091,29.35,104.765,83.7993,84.8568,102.31,38.0821,116.267,12.011,21.6568,66.2617,17.3177,42.851,56.7174,18.7904,24.9275,49.0561,7.1492,34.3884,46.1125,34.7945,37.338,138.737,32.9704,1064.97,129.221,60.5689,102.449,257.677,29.924,129.77,49.7666,89.13,86.3144,121.638,22.184,23.7623,56.6068,131.734,63.2651,58.4618,67.5738,54.459,36.9231,119.4682,63.0034,8.3238,23.1323,113.001,35.89,52.287,31.2762,21.1512,67.6858,62.5721,125.343,73.274,63.0289,78.8699,171.871,56.7058,57.0114,40.0751
2016-02-01,48.8745,35.5136,109.019,51.5132,47.6205,61.323,33.5822,89.7686,30.5103,53.2608,79.389,153.8382,28.74,105.39,83.8262,84.7999,102.996,38.1422,114.52,11.8581,21.4295,65.7994,17.3753,42.788,57.6917,18.5455,24.7668,48.7177,7.1517,34.3077,45.9574,35.4915,37.2341,137.097,33.493,1084.87,127.88,61.4858,103.098,256.029,29.3291,128.66,48.6938,89.61,86.7719,121.654,21.976,23.8049,55.4919,131.848,62.7613,58.7928,67.3896,55.6885,36.5377,118.9557,63.8004,8.4145,23.3953,112.874,36.4995,52.829,31.0732,21.0123,67.0869,63.4453,126.453,73.966,63.801,79.466,170.893,56.1787,58.0687,39.8437
2016-02-02,47.9453,34.9189,105.396,49.8454,46.1399,58.411,33.1448,87.8534,28.9215,52.074,77.897,151.6896,27.605,104.357,82.557,84.0199,102.45,37.8867,113.857,11.238,21.4082,65.0693,17.3177,41.742,57.1447,18.0321,23.9471,47.195,6.849,32.644,45.1736,35.2995,36.9591,130.27,32.9965,1066.79,124.162,60.3249,101.31,246.977,28.3295,125.7,47.1326,87.95,84.7176,119.552,21.532,23.2846,54.7878,129.45,61.6005,59.1803,65.4416,55.5077,36.8107,117.0137,62.7795,8.0241,23.5879,112.798,34.1565,52.3931,30.2534,20.0234,65.2899,62.7555,125.229,74.446,63.5188,77.5226,171.423,54.6232,57.5079,38.9581
2016-02-03,48.3473,35.4156,109.297,51.9815,46.4474,60.8412,33.3635,89.7592,30.534,54.7897,77.164,153.9994,26.554,103.124,83.7523,84.6131,100.4,37.6161,117.438,11.0681,21.2863,65.7831,17.6347,42.006,56.6405,18.2454,23.785,46.447,6.8832,32.5955,44.3408,34.5029,36.562,131.112,33.1184,1049.16,123.34,60.7876,100.305,249.313,28.3708,126.24,48.1334,87.99,89.1541,120.013,21.958,24.6708,55.3494,127.881,62.0896,58.5829,66.1699,56.8167,37.0115,117.7599,65.5767,7.9892,23.7618,113.018,35.4072,51.3875,30.6672,19.8763,65.1102,58.8699,126.702,74.949,63.2199,77.8738,173.435,54.5713,57.4527,38.2707
2016-02-04,48.5886,35.2827,110.858,54.1916,47.2483,60.9635,33.2151,90.0328,27.9177,55.7322,77.675,156.7388,26.813,100.892,85.7199,84.4181,99.731,36.5188,118.146,11.255,20.8056,65.4587,17.5434,43.062,56.7687,18.5929,24.1336,46.3045,6.8856,32.9428,44.1041,34.4389,36.342,134.383,33.1097,1069.1,125.053,63.53,101.595,257.218,28.8747,127.44,47.7971,86.36,91.0876,119.392,22.134,24.8286,55.3159,124.9,63.1191,56.5406,69.0568,56.8312,37.6378,120.6639,65.7968,8.038,23.5071,114.336,36.1433,50.3171,31.3152,20.4402,63.5614,59.3414,126.218,75.672,63.2614,77.2695,171.227,55.0726,55.3197,38.7933
2016-02-05,48.2312,35.6605,109.916,54.323,46.7224,59.5902,33.1448,88.5893,26.0049,55.9067,75.757,153.3011,25.107,96.993,86.3377,81.6881,95.383,37.1126,118.169,11.0002,20.8271,65.8643,17.7115,42.925,57.2644,18.0795,23.5418,44.666,6.4511,32.1917,43.5734,34.2966,36.5376,134.366,32.5871,1015.55,120.532,63.1178,99.389,252.339,28.4699,126.56,47.7411,79.2,90.7164,115.514,21.543,25.3405,55.4835,125.519,62.0896,56.1531,68.8111,57.1639,37.67,118.5961,64.6278,7.9822,23.5258,113.364,34.8451,47.0368,31.2996,19.9008,63.5956,57.4902,123.795,74.98,61.8168,76.0202,172.637,54.7528,52.5615,38.4797
2016-02-08,46.8195,35.4996,107.145,53.0578,45.7435,61.8262,33.3088,86.91,27.2142,56.6607,72.832,151.3136,24.405,93.178,86.1409,82.8743,95.921,36.6992,118.5,10.4226,20.4899,67.0161,17.822,42.407,57.1789,18.1111,23.3634,43.9982,6.1558,30.5361,42.6998,34.7234,36.7331,128.166,32.6306,973.8,119.319,63.959,97.876,240.622,27.5116,126.78,48.6137,74.94,87.9803,113.889,21.77,25.3362,55.3829,128.16,61.4325,56.5083,67.6265,57.2579,37.7904,117.1756,64.7189,8.0798,23.6417,111.726,34.7422,46.7347,30.8624,18.5278,63.4844,55.4906,122.786,76.498,60.2976,73.2031,174.746,52.6184,50.6032,37.3863
2016-02-09,47.025,35.0868,106.616,52.5238,45.4684,59.6189,33.8164,87.0986,26.5424,56.4142,72.968,151.9045,24.104,94.852,84.1668,82.85,96.714,36.9472,119.147,10.3631,20.8773,67.0323,17.6011,42.632,56.2473,17.8899,23.3553,43.8824,6.2217,30.2938,42.659,34.9937,36.9347,127.307,32.2299,991.29,121.775,64.876,98.89,241.499,27.7594,127.72,48.8539,73.85,89.6116,114.016,21.766,24.8286,55.2236,128.962,62.1992,56.3953,68.5127,57.0843,37.67,116.6721,66.2295,7.9125,23.8861,111.616,34.5206,46.9764,30.7609,18.7403,63.0993,56.0146,120.397,76.679,60.6712,73.9054,175.927,53.9405,51.1917,37.3461
2016-02-10,46.7212,34.9679,105.321,51.0531,44.9183,59.7052,33.2307,83.8249,25.5622,55.8999,73.199,152.0119,24.524,95.243,81.5347,82.655,97.152,37.2253,118.232,10.1762,21.1571,66.2049,17.4954,42.495,56.2302,17.7794,22.8852,44.2653,6.2071,30.213,42.8223,35.0008,36.6903,126.432,32.4129,1032.77,122.763,64.7246,100.296,244.804,27.7264,126.58,48.902,75.53,89.2232,115.33,21.601,23.8049,55.165,129.408,62.2138,55.5073,67.9248,57.0952,37.1305,114.7571,66.647,7.9055,23.5527,112.41,34.0061,47.5979,30.4798,18.5523,62.9614,55.936,123.032,75.57,61.5678,76.0284,174.274,53.785,52.7822,37.121
2016-02-11,45.6668,34.5551,98.153,50.4534,42.9361,59.6693,33.1214,85.2023,25.395,56.076,71.34,147.4462,25.191,94.36,79.9473,82.6306,96.483,36.7143,116.851,9.4797,20.8988,64.8098,17.3898,41.371,55.8285,19.4933,22.877,44.2475,6.1753,28.2505,41.2465,34.5567,36.6536,120.815,31.655,1055.24,120.649,63.5468,98.41,241.237,27.0489,125.09,47.653,74.94,88.0925,113.446,21.47,23.903,54.0166,128.184,61.031,54.9341,67.0474,56.1305,36.8547,111.8621,66.313,7.787,23.1717,108.617,34.0377,47.408,29.2384,17.7268,61.5397,55.3597,123.222,74.76,60.2893,76.6489,168.759,52.3151,51.4859,36.3089
